Time, Sample Count, Green Count, Green2 Count, IR Count, Red Count, X Axis Acceleration (g), Y Axis Acceleration (g), Z Axis Acceleration (g), Operating Mode, Heart Rate (bpm), HR Confidence (%), RR, RR Confidence (%), Activity, R Value, SpO2 Confidence (%), SpO2 (%), SpO2 Percent Complete, Low Signal Quality, Motion Flag, WSPO2 Low Pi, Unreliable R, SpO2 State, SCD State, SAMPLE Time
2022-11-01 15:14:32.221,14,163014,130649,15506,13496,-0.052,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.252,15,163114,130734,15505,13495,-0.051,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.299,16,163223,130843,15509,13496,-0.048,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.346,17,163340,130952,15511,13497,-0.055,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.377,18,163457,131049,15514,13499,-0.053,-0.139,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.425,19,163503,131094,15516,13503,-0.051,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.457,20,163382,130955,15521,13515,-0.052,-0.138,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.505,21,163226,130766,15507,13501,-0.055,-0.137,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.535,22,163136,130654,15484,13473,-0.048,-0.135,0.988,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.581,23,163133,130636,31094,26628,-0.05,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.613,24,163175,130682,31091,26629,-0.055,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.660,25,163254,130768,31103,26635,-0.051,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.708,26,163339,130852,31109,26648,-0.049,-0.135,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.738,27,163376,130901,31123,26667,-0.052,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.785,28,163404,130917,31127,26671,-0.051,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.815,29,163437,130936,31118,26660,-0.051,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.863,30,163500,130985,31118,26658,-0.052,-0.136,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.894,31,163588,131063,31119,26659,-0.051,-0.135,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.941,32,163680,131154,31129,26667,-0.053,-0.135,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:32.973,33,163793,131267,31143,26675,-0.05,-0.135,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:33.018,34,163913,131379,31154,26687,-0.053,-0.135,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:33.066,35,164014,131490,60305,52553,-0.052,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:33.097,36,163992,131475,61341,52610,-0.05,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:33.145,37,163805,131285,61344,52655,-0.054,-0.137,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
2022-11-01 15:14:33.175,38,163638,131092,61235,52562,-0.054,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.223,39,163558,130993,61134,52466,-0.05,-0.135,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.254,40,163566,130986,61095,52432,-0.052,-0.135,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.302,41,163600,131030,61095,52434,-0.052,-0.133,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.333,42,163672,131111,61110,52448,-0.052,-0.137,0.988,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.381,43,163725,131182,61135,52480,-0.05,-0.135,0.988,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.412,44,163754,131216,61165,52517,-0.051,-0.136,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.459,45,163761,131230,61166,52522,-0.051,-0.136,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.505,46,163808,131263,61158,52511,-0.051,-0.136,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.536,47,163863,131324,62781,53930,-0.052,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.584,48,163938,131399,62791,53940,-0.05,-0.136,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.615,49,164033,131493,62809,53954,-0.052,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.663,50,164142,131595,62832,53976,-0.051,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.695,51,164251,131693,62853,53998,-0.048,-0.134,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.739,52,164356,131798,62874,54018,-0.055,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.786,53,164456,131896,62900,54044,-0.051,-0.136,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.817,54,164420,131860,62945,54113,-0.048,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.865,55,164211,131633,62970,54151,-0.052,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.897,56,164011,131412,62874,54059,-0.053,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.943,57,163905,131295,62778,53966,-0.05,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:33.974,58,163881,131272,62744,53927,-0.051,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:34.021,59,163888,131288,62754,53932,-0.049,-0.134,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:34.052,60,163930,131345,62769,53944,-0.05,-0.136,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:34.099,61,163971,131394,62799,53972,-0.049,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:34.146,62,163995,131422,62824,54001,-0.051,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54873
2022-11-01 15:14:34.177,63,164002,131427,62835,54011,-0.052,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.223,64,164031,131444,62828,54001,-0.05,-0.135,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.255,65,164086,131494,62822,53995,-0.05,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.303,66,164157,131562,62838,54000,-0.052,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.333,67,164244,131660,62858,54019,-0.052,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.382,68,164344,131761,62890,54042,-0.052,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.412,69,164448,131867,62920,54071,-0.051,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.458,70,164548,131967,62948,54099,-0.054,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.506,71,164652,132067,62974,54128,-0.049,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.537,72,164748,132155,62988,54136,-0.055,-0.132,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.585,73,164820,132235,63020,54170,-0.049,-0.137,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.617,74,164732,132149,63074,54245,-0.052,-0.132,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.663,75,164530,131920,63073,54263,-0.052,-0.136,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.694,76,164353,131724,62975,54160,-0.052,-0.133,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.743,77,164265,131630,62900,54080,-0.049,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.774,78,164243,131604,62879,54052,-0.052,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.822,79,164249,131617,62891,54061,-0.051,-0.133,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.853,80,164287,131661,62902,54066,-0.052,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54874
2022-11-01 15:14:34.898,81,164320,131697,62919,54083,-0.05,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:34.946,82,164334,131703,62942,54107,-0.052,-0.133,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:34.978,83,164338,131697,62945,54116,-0.052,-0.135,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:35.025,84,164364,131718,62938,54100,-0.05,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:35.056,85,164411,131753,62938,54097,-0.051,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:35.103,86,164482,131817,62950,54107,-0.053,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:35.135,87,164576,131902,62967,54116,-0.052,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54874
2022-11-01 15:14:35.182,88,164677,131989,62990,54133,-0.051,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.214,89,164774,132085,63017,54158,-0.052,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.261,90,164872,132176,63042,54180,-0.051,-0.134,0.984,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.307,91,164974,132263,63062,54195,-0.051,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.338,92,165063,132348,63075,54205,-0.052,-0.133,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.384,93,165163,132435,63081,54210,-0.054,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.415,94,165239,132501,63104,54235,-0.049,-0.136,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.463,95,165126,132386,63155,54310,-0.05,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.493,96,164936,132166,63136,54303,-0.052,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.540,97,164796,131999,63043,54205,-0.051,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.586,98,164741,131930,62972,54129,-0.05,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.618,99,164739,131913,62954,54103,-0.049,-0.134,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.664,100,164770,131947,62960,54106,-0.052,-0.133,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.694,101,164809,132000,62970,54111,-0.049,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.741,102,164848,132036,62986,54132,-0.049,-0.133,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.787,103,164853,132046,63007,54150,-0.051,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.822,104,164862,132047,63005,54149,-0.051,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.865,105,164887,132059,62996,54133,-0.05,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.895,106,164926,132098,62983,54118,-0.052,-0.136,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,ADJUSTING,ON SKIN,54875
2022-11-01 15:14:35.941,107,164994,132164,62987,54114,-0.052,-0.135,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54875
2022-11-01 15:14:35.972,108,165066,132237,63004,54127,-0.05,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54875
2022-11-01 15:14:36.020,109,165164,132330,63026,54141,-0.05,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54875
2022-11-01 15:14:36.066,110,165256,132419,63045,54164,-0.051,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54875
2022-11-01 15:14:36.098,111,165353,132519,63069,54180,-0.05,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54875
2022-11-01 15:14:36.146,112,165439,132604,63087,54192,-0.048,-0.134,0.986,0,60,0,402.8,10,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54875
2022-11-01 15:14:36.177,113,165528,132694,63099,54205,-0.054,-0.135,0.988,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.224,114,165612,132769,63116,54219,-0.051,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.254,115,165586,132742,63141,54265,-0.048,-0.134,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.300,116,165408,132559,63166,54306,-0.054,-0.136,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.347,117,165250,132374,63092,54233,-0.051,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.377,118,165163,132268,63003,54133,-0.05,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.425,119,165159,132249,62963,54089,-0.049,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.457,120,165182,132269,62964,54083,-0.052,-0.133,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.504,121,165230,132332,62973,54087,-0.051,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.534,122,165271,132387,62993,54105,-0.05,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.580,123,165286,132401,63017,54131,-0.052,-0.136,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.627,124,165277,132390,63018,54138,-0.05,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.659,125,165290,132394,63005,54122,-0.052,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.706,126,165324,132422,62999,54107,-0.051,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.738,127,165387,132478,62998,54101,-0.051,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.784,128,165450,132540,63012,54103,-0.052,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.815,129,165532,132616,63021,54114,-0.049,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.861,130,165625,132706,63038,54128,-0.05,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.893,131,165706,132784,63049,54140,-0.052,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.940,132,165798,132868,63071,54154,-0.054,-0.137,0.986,0,60,0,788.5,25,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:36.985,133,165869,132934,63090,54168,-0.049,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:37.019,134,165800,132866,63128,54233,-0.052,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:37.064,135,165605,132665,63146,54260,-0.055,-0.137,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:37.095,136,165459,132497,63054,54171,-0.05,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:37.143,137,165389,132418,62982,54087,-0.05,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54876
2022-11-01 15:14:37.174,138,165391,132421,62957,54063,-0.052,-0.134,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.220,139,165415,132447,62964,54063,-0.05,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.266,140,165462,132511,62982,54076,-0.05,-0.135,0.987,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.313,141,165494,132553,63013,54106,-0.05,-0.135,0.985,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.344,142,165489,132562,63043,54140,-0.052,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.390,143,165465,132548,63045,54140,-0.051,-0.136,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.437,144,165465,132554,63033,54125,-0.052,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.467,145,165491,132582,63028,54122,-0.051,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.514,146,165545,132629,63035,54124,-0.053,-0.135,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.546,147,165603,132696,63053,54130,-0.052,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
2022-11-01 15:14:37.593,148,165680,132782,63069,54145,-0.046,-0.134,0.986,0,60,0,0,0,REST,0,0,0,0,0,0,0,0,CALCULATING,ON SKIN,54877
