Time, Sample Count, Green Count, Green2 Count, IR Count, Red Count, X Axis Acceleration (g), Y Axis Acceleration (g), Z Axis Acceleration (g), Operating Mode, Heart Rate (bpm), HR Confidence (%), RR, RR Confidence (%), Activity, R Value, SpO2 Confidence (%), SpO2 (%), SpO2 Percent Complete, Low Signal Quality, Motion Flag, WSPO2 Low Pi, Unreliable R, SpO2 State, SCD State, SAMPLE Time
2022-11-01 15:14:31.673,0,139901,139326,15524,13519,-0.059,-0.147,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.748,1,258879,223884,15517,13515,-0.058,-0.152,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.751,2,225655,172638,15504,13504,-0.052,-0.136,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.821,3,177809,139929,15505,13510,-0.054,-0.14,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.824,4,162573,130344,15496,13495,-0.055,-0.145,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.892,5,162485,130221,15475,13473,-0.052,-0.133,0.988,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.895,6,162497,130207,15465,13462,-0.046,-0.133,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.939,7,162564,130268,15468,13464,-0.052,-0.133,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:31.986,8,162667,130366,15483,13478,-0.05,-0.138,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:32.017,9,162766,130465,15497,13489,-0.051,-0.134,0.985,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:32.064,10,162819,130515,15509,13503,-0.052,-0.136,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:32.095,11,162842,130522,15515,13510,-0.054,-0.139,0.988,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:32.142,12,162874,130541,15508,13505,-0.053,-0.139,0.986,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54871
2022-11-01 15:14:32.174,13,162928,130574,15504,13499,-0.056,-0.138,0.987,0,60,0,0,0,OTHER,0,0,0,0,0,0,0,0,ADJUSTING,ON OBJECT,54872
